Roll,Pitch,Yaw
-0.34735,-0.198152,180.056
-0.367126,-0.198595,180.066
-0.346861,-0.197713,180.075
-0.366663,-0.196439,180.064
-0.347117,-0.199785,180.053
-0.331253,-0.208916,180.04
-0.336825,-0.225017,180.053
-0.321449,-0.2124,180.041
-0.304538,-0.201418,180.051
-0.286197,-0.192832,180.04
-0.267178,-0.185698,180.029
-0.247481,-0.180617,180.019
-0.227269,-0.177842,180.009
-0.207274,-0.173852,180.019
-0.187786,-0.168007,180.009
-0.167745,-0.164161,180.019
-0.147311,-0.161905,180.009
-0.126949,-0.158879,180.019
-0.106904,-0.154731,180.009
-0.0864244,-0.151999,179.999
-0.10579,-0.153501,179.99
-0.0849976,-0.15429,179.98
-0.104161,-0.15715,179.991
-0.123572,-0.159076,179.981
-0.143019,-0.159843,179.991
-0.123026,-0.166125,180.002
-0.103213,-0.172822,179.992
-0.0836097,-0.181118,179.982
-0.0997721,-0.172292,179.973
-0.0842388,-0.187909,179.983
-0.0957931,-0.174547,179.994
-0.0900484,-0.195551,179.984
-0.0893299,-0.178544,179.996
-0.0908749,-0.200482,180.007
-0.0837544,-0.184431,179.997
-0.0737282,-0.170403,180.009
-0.061735,-0.15747,180.021
-0.0719219,-0.176636,180.032
-0.0797312,-0.196925,180.043
-0.0875232,-0.216739,180.032
-0.0803809,-0.201075,180.043
-0.0714476,-0.185933,180.053
-0.0629211,-0.170732,180.064
-0.0701337,-0.192149,180.073
-0.0629194,-0.177261,180.084
-0.0523283,-0.164312,180.095
-0.0621906,-0.1835,180.107
-0.0711951,-0.200771,180.121
-0.0832948,-0.209099,180.103
-0.0668677,-0.213973,180.117
-0.0818098,-0.214919,180.133
-0.0981318,-0.213729,180.147
-0.0795485,-0.223972,180.157
-0.0984436,-0.222059,180.146
-0.0782885,-0.227644,180.136
-0.0975707,-0.22797,180.125
-0.0771538,-0.230732,180.115
-0.056853,-0.23164,180.105
-0.0765248,-0.235959,180.094
-0.0959499,-0.24309,180.104
-0.115703,-0.246625,180.093
-0.0954471,-0.247691,180.082
-0.075148,-0.251669,180.091
-0.0949209,-0.256869,180.1
-0.0752003,-0.260059,180.11
-0.0551645,-0.261126,180.118
-0.0740263,-0.270653,180.127
-0.0941068,-0.277299,180.136
-0.114138,-0.275953,180.125
-0.0958997,-0.282985,180.136
-0.0939868,-0.286613,180.158
-0.106922,-0.290902,180.139
-0.123781,-0.296877,180.152
-0.105348,-0.29766,180.139
-0.125056,-0.297329,180.128
-0.14491,-0.300853,180.139
-0.163986,-0.306009,180.15
-0.182848,-0.312202,180.161
-0.163526,-0.311586,180.172
-0.182436,-0.317406,180.184
-0.20161,-0.321011,180.173
-0.220963,-0.327543,180.184
-0.20251,-0.322432,180.174
-0.184391,-0.316291,180.164
-0.202435,-0.325799,180.176
-0.184291,-0.3214,180.188
-0.203309,-0.329042,180.2
-0.223221,-0.33318,180.19
-0.203929,-0.33148,180.18
-0.224101,-0.333562,180.192
-0.244178,-0.335994,180.203
-0.224527,-0.33678,180.193
-0.243665,-0.331115,180.184
-0.261529,-0.322272,180.175
-0.277901,-0.311162,180.186
-0.264904,-0.326313,180.176
-0.273238,-0.308278,180.167
-0.269668,-0.327789,180.178
-0.267499,-0.346935,180.167
-0.267842,-0.365938,180.156
-0.270154,-0.384633,180.145
-0.27305,-0.403571,180.156
-0.277292,-0.422022,180.145
-0.28069,-0.440864,180.157
-0.280849,-0.420984,180.146
-0.282972,-0.401352,180.157
-0.281796,-0.420203,180.146
-0.283954,-0.439011,180.135
-0.280346,-0.419633,180.124
-0.273904,-0.401136,180.113
-0.263554,-0.384998,180.125
-0.277603,-0.398152,180.136
-0.295909,-0.405435,180.125
-0.314972,-0.410572,180.136
-0.334557,-0.412865,180.126
-0.354249,-0.41158,180.116
-0.373855,-0.409577,180.126
-0.353747,-0.412766,180.136
-0.33355,-0.415123,180.126
-0.353125,-0.414872,180.116
-0.372611,-0.41536,180.105
-0.392076,-0.416073,180.116
-0.371958,-0.414771,180.126
-0.391233,-0.418202,180.136
-0.410533,-0.4217,180.146
-0.430193,-0.424392,180.136
-0.410436,-0.419485,180.125
-0.39029,-0.418711,180.135
-0.410285,-0.416215,180.124
-0.390131,-0.415732,180.133
-0.369982,-0.414184,180.142
-0.390057,-0.4133,180.132
-0.36988,-0.413324,180.141
-0.349692,-0.412732,180.149
-0.369724,-0.413405,180.159
-0.389451,-0.414196,180.168
-0.408488,-0.41105,180.179
-0.424888,-0.403712,180.165
-0.412589,-0.401481,180.183
-0.411614,-0.413004,180.164
-0.427027,-0.405724,180.178
-0.407565,-0.401573,180.167
-0.426313,-0.407047,180.178
-0.406643,-0.40316,180.188
-0.425377,-0.408568,180.199
-0.444657,-0.412358,180.209
-0.424543,-0.41072,180.22
-0.443572,-0.414803,180.21
-0.462658,-0.417922,180.201
-0.481904,-0.419649,180.192
-0.501036,-0.421392,180.183
-0.480131,-0.421735,180.194
-0.499045,-0.425884,180.205
-0.517926,-0.426249,180.197
-0.496945,-0.43031,180.187
-0.515428,-0.429208,180.178
-0.534371,-0.428773,180.169
-0.552801,-0.427559,180.16
-0.57084,-0.424875,180.151
-0.550746,-0.434793,180.161
-0.56815,-0.43122,180.173
-0.584353,-0.425869,180.162
-0.599163,-0.419537,180.175
-0.591851,-0.44071,180.188
-0.587858,-0.425972,180.201
-0.601651,-0.441667,180.19
-0.616313,-0.454644,180.178
-0.599872,-0.447655,180.166
-0.584202,-0.440287,180.154
-0.567862,-0.434387,180.167
-0.551584,-0.427988,180.18
-0.567155,-0.441912,180.192
-0.553112,-0.431301,180.181
-0.539619,-0.42037,180.192
-0.521805,-0.414939,180.203
-0.504115,-0.409819,180.192
-0.484602,-0.410357,180.202
-0.503193,-0.409519,180.191
-0.484478,-0.412746,180.178
-0.5009,-0.423417,180.191
-0.515094,-0.438157,180.203
-0.501011,-0.431357,180.217
-0.482435,-0.430833,180.229
-0.464106,-0.437376,180.216
-0.483143,-0.442742,180.228
-0.502114,-0.44986,180.217
-0.4822,-0.449055,180.226
-0.462489,-0.449647,180.237
-0.482004,-0.455381,180.247
-0.501722,-0.459004,180.237
-0.481834,-0.457772,180.227
-0.462077,-0.459181,180.237
-0.442489,-0.458493,180.227
-0.422463,-0.458239,180.237
-0.442162,-0.463334,180.227
-0.422679,-0.45959,180.217
-0.402786,-0.457801,180.227
-0.422675,-0.46093,180.217
-0.402528,-0.461739,180.226
-0.422498,-0.461598,180.216
-0.44249,-0.46188,180.226
-0.422337,-0.463245,180.216
-0.441856,-0.459837,180.206
-0.422503,-0.465541,180.195
-0.404195,-0.471896,180.183
-0.420269,-0.461432,180.172
-0.408163,-0.477349,180.182
-0.401056,-0.496135,180.192
-0.404098,-0.516093,180.202
-0.412134,-0.53452,180.191
